Area_Code2 ,Intl_Plan ,Vmail ,Vmail_Message,Day_Mins,Day_Calls,Day_Charge,Eve_Mins,Eve_Calls,Eve_Charge,Night_Mins,Night_Calls,Night_Charge,Intl_Mins,Intl_Calls,Intl_Charge,CustServ_Calls,Churn 
1,0,1,0,160,133,27.2,64.59,10,18.3,18.89,9,8.5,9.1,4,2.46,0,0
0,0,1,0,155.9,95,26.5,76.83,10,21.77,26.29,10,11.83,11.7,3,3.16,3,0
1,0,0,31,216,94,36.72,67.53,12,19.13,23.47,11,10.56,10.7,1,2.89,2,0
0,1,0,26,307.1,94,52.21,86.82,8,24.6,17.49,11,7.87,8,3,2.16,0,0
2,0,1,0,179.4,108,30.5,78.96,7,22.37,13.33,8,6,13.4,7,3.62,2,0
1,0,0,22,149.1,103,25.35,62.16,9,17.61,26.54,9,11.94,11.4,7,3.08,2,0
1,0,0,27,188.4,104,32.03,96.18,13,27.25,16.17,12,7.28,9.7,7,2.62,1,0
0,0,1,0,58.9,125,10.01,50.88,6,14.42,21.14,9,9.51,9.4,3,2.54,1,0
1,0,1,0,134.9,98,22.93,74.52,13,21.11,23.62,11,10.63,14.7,2,3.97,3,0
1,0,1,0,209.5,89,35.62,51.84,9,14.69,9.41,10,4.23,8.8,4,2.38,1,0
1,0,1,0,154.6,81,26.28,44.19,10,12.52,13.29,10,5.98,6.9,5,1.86,0,0
0,0,1,0,167,120,28.39,62.73,10,17.77,13.1,11,5.9,8.6,2,2.32,1,0
0,0,1,0,72.2,80,12.27,52.02,8,14.74,13.01,12,5.85,11,5,2.97,2,0
0,0,1,0,147.7,94,25.11,84.99,8,24.08,18.83,12,8.47,6.9,5,1.86,2,0
2,0,1,0,142.5,109,24.23,52.83,11,14.97,18.96,9,8.53,8.2,3,2.21,2,0
1,0,1,0,185.8,36,31.59,82.95,13,23.5,19.21,10,8.64,5.7,7,1.54,4,0
0,0,0,35,175.4,88,29.82,57,7,16.15,13.87,9,6.24,10.5,3,2.84,2,0
2,0,1,0,242.2,88,41.17,69.96,9,19.82,18.85,12,8.48,6.2,6,1.67,3,0
0,1,1,0,111.9,55,19.02,66.9,12,18.96,24.32,8,10.94,10,7,2.7,3,0
1,0,1,0,51.9,108,8.82,48.6,8,13.77,22.35,12,10.06,10.1,3,2.73,3,0
0,0,1,0,128.9,136,21.91,73.32,13,20.77,14.87,13,6.69,10.7,5,2.89,0,0
0,0,1,0,257.3,84,43.74,55.44,12,15.71,10.89,11,4.9,13.5,7,3.65,0,0
1,0,1,0,169.3,111,28.78,41.85,7,11.86,19.7,9,8.87,12,3,3.24,0,0
1,0,1,0,152.9,119,25.99,51.36,11,14.55,25.7,11,11.57,12,5,3.24,2,0
2,0,0,24,125.5,106,21.34,48.36,10,13.7,20.91,11,9.41,15,4,4.05,2,0
1,0,1,0,135.7,111,23.07,66.9,12,18.96,16.75,10,7.54,9.5,4,2.57,1,0
2,0,1,0,158.8,120,27,105.63,15,29.93,17.76,14,7.99,6.2,6,1.67,2,0
0,0,1,0,232.7,114,39.56,55.92,12,15.84,15.33,12,6.9,11.5,6,3.11,5,0
0,0,1,0,187.7,127,31.91,49.02,15,13.89,19.6,9,8.82,9.1,5,2.46,0,0
0,0,1,0,136.7,106,23.24,68.58,11,19.43,26.53,11,11.94,9.8,4,2.65,0,0
0,0,1,0,164.2,109,27.91,46.62,9,13.21,16.89,12,7.6,10.7,8,2.89,1,0
2,0,1,0,75.3,96,12.8,53.97,11,15.29,19.38,13,8.72,12.3,1,3.32,1,0
0,0,1,0,205.2,106,34.88,29.85,12,8.46,18.95,8,8.53,13.4,3,3.62,1,0
0,0,1,0,139.7,112,23.75,68.04,6,19.28,16.85,7,7.58,15.1,7,4.08,1,0
0,0,1,0,232.4,76,39.51,45.99,10,13.03,21.46,11,9.66,10.5,2,2.84,1,0
0,0,1,0,146.4,107,24.89,58.95,10,16.7,23.01,11,10.35,7.8,2,2.11,1,0
2,0,1,0,171.5,75,29.16,67.35,11,19.08,18.74,8,8.43,9.7,6,2.62,1,0
2,0,1,0,101.1,121,17.19,78.96,11,22.37,13.77,7,6.2,7.3,5,1.97,0,0
2,1,1,0,180.9,79,30.75,58.47,8,16.57,19.78,11,8.9,8.8,9,2.38,3,0
0,0,1,0,145.6,102,24.75,69.27,9,19.63,18.15,9,8.17,11.4,7,3.08,1,0
0,0,1,0,188.5,77,32.05,54.6,12,15.47,21.82,13,9.82,6.1,6,1.65,1,0
0,0,1,0,198.3,94,33.71,83.79,10,23.74,14.62,9,6.58,14.8,8,4,3,0
2,0,0,35,110.8,123,18.84,59.76,8,16.93,21.29,8,9.58,8.9,4,2.4,2,0
2,0,1,0,161.4,84,27.44,49.08,9,13.91,15.32,12,6.89,11.8,5,3.19,1,0
0,0,0,30,126,124,21.42,60.72,8,17.2,18.64,10,8.39,8.6,1,2.32,1,0
0,0,1,0,137.8,86,23.43,85.89,8,24.34,16.7,8,7.52,14.1,3,3.81,2,0
0,0,1,0,139.6,96,23.73,37.26,9,10.56,9.56,8,4.3,15,4,4.05,2,0
0,1,1,0,101,110,17.17,72,7,20.4,33.35,11,15.01,11.1,6,3,0,0
1,0,0,27,156.7,51,26.64,70.95,12,20.1,12.32,11,5.54,12.6,6,3.4,2,0
1,0,1,0,118.1,90,20.08,43.29,8,12.27,22.51,9,10.13,8.2,6,2.21,1,0
2,0,1,0,121.3,112,20.62,84.84,11,24.04,12.31,8,5.54,7.4,4,2,1,0
1,0,1,0,195.1,100,33.17,44.64,10,12.65,22.45,12,10.1,6.7,2,1.81,0,0
0,0,1,0,261.7,105,44.49,54.54,11,15.45,10.09,13,4.54,3.3,5,0.89,0,0
0,0,1,0,241.1,72,40.99,46.68,10,13.23,18.82,11,8.47,11.6,10,3.13,1,0
0,0,1,0,247.4,107,42.06,52.77,8,14.95,28.74,9,12.93,11.3,2,3.05,0,0
0,0,0,40,128.1,99,21.78,74.31,8,21.05,19.97,12,8.99,15.6,3,4.21,0,0
2,0,0,27,159.7,102,27.15,50.64,11,14.35,24.41,13,10.98,9.6,9,2.59,3,0
1,0,1,0,212.9,92,36.19,78.03,12,22.11,17.76,9,7.99,8.6,2,2.32,2,0
0,0,1,0,66.7,124,11.34,61.2,9,17.34,25.47,11,11.46,15.1,2,4.08,1,0
0,0,1,0,222.2,96,37.77,48.75,11,13.81,18.49,12,8.32,11.9,7,3.21,4,0
2,0,0,6,237.6,105,40.39,73.47,10,20.82,18.83,11,8.47,6.8,11,1.84,4,0
0,0,1,0,250.5,89,42.59,43.83,8,12.42,16.42,6,7.39,8.4,3,2.27,1,0
0,0,0,17,193.4,112,32.88,72.18,13,20.45,24.81,10,11.16,11.4,3,3.08,5,0
1,0,0,38,199,96,33.83,22.65,9,6.42,18.02,8,8.11,7.5,7,2.03,1,0
1,1,1,0,125.2,93,21.28,61.92,12,17.54,12.93,14,5.82,8.3,8,2.24,0,0
0,0,1,0,184.8,98,31.42,64.92,13,18.39,14.11,12,6.35,18.4,3,4.97,2,0
2,0,0,26,91.7,104,15.59,45.18,12,12.8,6.33,10,2.85,7.7,5,2.08,1,0
1,0,1,0,241.2,134,41,34.95,11,9.9,15.22,9,6.85,10.6,4,2.86,0,0
0,0,0,27,231.6,105,39.37,66.99,12,18.98,21.2,10,9.54,8.9,4,2.4,1,0
0,0,0,41,215.5,95,36.64,72.54,9,20.55,14.7,11,6.61,9.6,3,2.59,1,0
1,0,1,0,278.4,106,47.33,24.3,11,6.89,16.32,14,7.34,9.8,5,2.65,1,0
2,0,1,0,164.6,110,27.98,81.18,10,23,23.04,11,10.37,8,3,2.16,0,0
2,0,1,0,78.7,98,13.38,67.68,10,19.18,15.04,11,6.77,14,8,3.78,0,0
0,0,1,0,245.9,73,41.8,72.03,9,20.41,15.87,9,7.14,8.9,5,2.4,3,0
0,0,1,0,125.3,84,21.3,50.28,12,14.25,26.06,9,11.73,8.4,4,2.27,1,0
1,0,1,0,211.3,91,35.92,57.27,12,16.23,18.41,13,8.28,6.3,4,1.7,2,0
0,0,0,29,239.6,84,40.73,54.63,8,15.48,11.83,10,5.32,11,3,2.97,2,0
0,0,1,0,197.2,113,33.52,72.69,12,20.6,19.2,8,8.64,11,5,2.97,2,0
0,0,1,0,189.9,104,32.28,74.22,12,21.03,15.98,11,7.19,10.1,6,2.73,1,0
2,0,1,0,256.2,105,43.55,48.21,10,13.66,24.94,8,11.22,7.4,2,2,4,0
0,1,1,0,195.7,123,33.27,42.57,12,12.06,13.64,7,6.14,7.9,6,2.13,1,0
1,0,1,0,112.8,89,19.18,47.01,7,13.32,24.96,9,11.23,16.3,6,4.4,0,0
0,0,0,42,248.9,93,42.31,51.24,11,14.52,10.45,9,4.7,11.2,8,3.02,1,0
1,0,1,0,170.5,86,28.99,83.25,9,23.59,16.25,12,7.31,12.2,6,3.29,1,0
0,0,0,26,220.5,94,37.49,71.85,13,20.36,25.43,11,11.44,5.9,9,1.59,2,0
1,0,0,25,230.7,102,39.22,70.14,11,19.87,21.58,9,9.71,13.5,2,3.65,3,0
2,0,1,0,175.7,69,29.87,46.44,10,13.16,20.82,7,9.37,9.5,2,2.57,0,0
2,0,1,0,160.2,104,27.23,41.67,7,11.81,31.25,10,14.06,9.7,2,2.62,0,0
2,1,1,0,218.9,88,37.21,62.4,9,17.68,20.33,10,9.15,11.1,4,3,0,0
0,0,0,14,143.2,99,24.34,50.97,9,14.44,22.16,8,9.97,11.6,1,3.13,1,0
1,0,1,0,224,99,38.08,63.21,8,17.91,23.19,8,10.44,2.1,5,0.57,0,0
0,0,1,0,207.8,109,35.33,37.05,11,10.5,29.16,12,13.12,5.7,9,1.54,0,0
0,0,1,0,82.1,75,13.96,60.36,10,17.1,20.67,15,9.3,9.6,2,2.59,1,0
0,0,1,0,164.9,115,28.03,37.95,10,10.75,23.85,13,10.73,10,9,2.7,2,0
1,0,1,0,158.9,137,27.01,72.84,11,20.64,24.78,10,11.15,6.5,4,1.76,0,0
2,0,0,24,207,109,35.19,54.51,10,15.44,14.87,11,6.69,5.7,6,1.54,1,0
0,0,1,0,146.3,133,24.87,60.81,10,17.23,23.47,10,10.56,13.1,3,3.54,1,0
0,0,1,0,222.8,101,37.88,60.9,13,17.26,21.06,11,9.48,6.9,2,1.86,2,0
1,0,1,0,126.3,102,21.47,50.04,9,14.18,18.78,14,8.45,9.4,2,2.54,3,0
0,0,1,0,201.5,103,34.26,37.26,12,10.56,23.99,6,10.8,11.5,3,3.11,0,0
1,0,0,23,134.2,85,22.81,68.19,13,19.32,12.24,10,5.51,8.5,2,2.3,2,0
2,1,0,27,170.9,73,29.05,55.41,8,15.7,13.08,9,5.89,6.1,7,1.65,2,0
2,0,0,24,229.1,86,38.95,50.61,12,14.34,24.54,8,11.04,14.6,2,3.94,1,0
0,0,1,0,96.7,97,16.44,58.14,10,16.47,17.17,9,7.73,9.7,3,2.62,2,0
1,0,1,0,196.5,89,33.41,72.39,12,20.51,14.32,11,6.44,4,7,1.08,0,0
2,0,1,0,203.5,89,34.6,86.88,7,24.62,21.29,7,9.58,8.7,3,2.35,3,0
1,0,0,23,262.2,101,44.57,47.1,8,13.35,12.91,10,5.81,7.3,14,1.97,1,0
1,0,1,0,110.3,107,18.75,49.95,9,14.15,20.23,10,9.1,9.5,5,2.57,0,0
0,0,1,0,242.5,101,41.23,30.84,11,8.74,14.24,9,6.41,9.3,2,2.51,2,0
0,1,1,0,168.8,86,28.7,71.28,10,20.2,20.43,9,9.19,5.3,9,1.43,1,0
0,0,1,0,92.2,108,15.67,63.36,12,17.95,12.91,7,5.81,13.1,6,3.54,1,0
1,0,1,0,168.5,102,28.65,89.16,13,25.26,24.47,12,11.01,8.8,6,2.38,3,0
0,0,1,0,226.5,85,38.51,42.48,7,12.04,22.3,9,10.04,6.9,5,1.86,1,0
0,0,1,0,207.2,114,35.22,49.11,10,13.91,19.28,8,8.68,9.3,4,2.51,7,0
0,0,1,0,227.4,67,38.66,74.4,12,21.08,6.14,11,2.76,7.8,6,2.11,1,0
2,1,0,30,184.2,132,31.31,50.25,11,14.24,21.28,11,9.58,10,10,2.7,0,0
2,0,0,28,225.8,94,38.39,57.9,12,16.41,23.24,10,10.46,8.4,9,2.27,4,0
2,0,0,21,195.7,119,33.27,31.86,10,9.03,15.74,9,7.08,5.3,3,1.43,2,0
0,1,0,20,186.2,112,31.65,43.59,7,12.35,14.28,10,6.43,10.9,4,2.94,3,0
2,0,1,0,300.4,94,51.07,39.96,10,11.32,19.74,9,8.88,7.2,5,1.94,2,0
1,0,1,0,217.6,82,36.99,50.82,10,14.4,24.89,12,11.2,12.7,3,3.43,0,0
0,0,1,0,165.9,122,28.2,63.66,11,18.04,20.21,9,9.09,8.3,3,2.24,1,0
0,0,1,0,161.4,110,27.44,66.18,13,18.75,24.92,8,11.21,5.1,2,1.38,0,0
0,0,1,0,146,121,24.82,60.9,14,17.26,15.18,12,6.83,13.3,2,3.59,1,0
0,0,1,0,156.5,102,26.61,42.06,13,11.92,22.74,11,10.23,12.2,2,3.29,2,0
0,0,0,32,216.8,78,36.86,30.66,11,8.69,17.4,8,7.83,8.6,2,2.32,0,0
0,0,0,42,280.4,95,47.67,52.32,10,14.82,19,7,8.55,9.9,1,2.67,3,0
0,0,1,0,273.8,99,46.55,37.14,11,10.52,14.77,6,6.65,6.9,4,1.86,2,0
2,0,1,0,221.6,88,37.67,69.54,9,19.7,21.17,12,9.53,8.6,9,2.32,1,0
2,0,1,0,103.1,70,17.53,82.5,13,23.38,14.11,9,6.35,11.2,5,3.02,1,0
0,0,1,0,211.7,100,35.99,59.61,10,16.89,30.17,14,13.58,6.5,9,1.76,1,0
0,0,1,0,149.2,128,25.36,33.84,10,9.59,15.63,11,7.03,12.2,4,3.29,1,0
2,0,1,0,213.3,124,36.26,56.88,9,16.12,19.37,11,8.72,12.1,2,3.27,1,0
2,0,1,0,137.4,126,23.36,36,9,10.2,13.03,6,5.86,12.4,2,3.35,3,0
1,0,1,0,169.7,84,28.85,49.77,9,14.1,19.19,8,8.64,12.8,6,3.46,3,0
0,0,1,0,204.9,107,34.83,40.56,10,11.49,20.82,11,9.37,10.4,3,2.81,5,0
2,0,1,0,217.1,76,36.91,61.56,10,17.44,18.57,9,8.36,9.4,3,2.54,2,0
0,0,1,0,143.8,102,24.45,59.88,12,16.97,17.78,7,8,7.8,4,2.11,1,0
2,0,0,26,226.4,117,38.49,70.41,10,19.95,13.36,8,6.01,10.8,7,2.92,1,0
0,0,1,0,142.3,50,24.19,69.45,14,19.68,20.56,8,9.25,5.5,3,1.49,1,0
2,0,0,38,105,86,17.85,36.54,12,10.35,22.15,12,9.97,3.7,4,1,0,0
2,0,1,0,154,95,26.18,61.77,11,17.5,23.37,8,10.52,12.9,1,3.48,1,0
0,0,0,43,118.4,100,20.13,43.23,11,12.25,15.81,9,7.11,8.5,6,2.3,1,0
0,0,0,25,215.1,140,36.57,59.22,7,16.78,16.21,12,7.29,10.6,10,2.86,1,0
0,0,1,0,110.2,92,18.73,65.82,11,18.65,18.81,7,8.46,12.3,4,3.32,2,0
0,0,1,0,264.5,75,44.97,53.76,9,15.23,14.19,9,6.39,8,1,2.16,1,0
2,0,1,0,168.5,80,28.65,61.17,12,17.33,19.91,13,8.96,8.1,2,2.19,1,0
1,0,0,25,141,101,23.97,63.6,9,18.02,17.52,14,7.88,4.9,2,1.32,3,0
2,0,1,0,205.9,96,35,77.13,9,21.85,20.9,6,9.4,12.1,8,3.27,0,0
0,0,1,0,205.7,138,34.97,48.57,8,13.76,26.97,10,12.14,12.5,6,3.38,2,0
0,0,1,0,190.4,91,32.37,27.6,11,7.82,22.48,11,10.12,13.6,17,3.67,2,0
1,0,1,0,93.3,83,15.86,59.88,11,16.97,20.62,10,9.28,6.5,4,1.76,0,0
1,0,1,0,122,92,20.74,41.49,11,11.76,22.42,13,10.09,5.8,5,1.57,1,0
0,0,0,34,305.2,80,51.88,46.95,11,13.3,28,8,12.6,13.2,7,3.56,1,0
1,0,1,0,176.1,79,29.94,62.49,11,17.71,23.75,9,10.69,16.1,4,4.35,4,0
1,0,1,0,106.1,95,18.04,47.28,11,13.4,19.25,7,8.66,8.1,3,2.19,1,0
2,0,1,0,227.4,88,38.66,54.75,10,15.51,19.17,13,8.63,12.5,3,3.38,0,0
1,0,0,21,153.2,112,26.04,78.99,11,22.38,13.5,9,6.08,11.9,7,3.21,1,0
0,0,1,0,241.3,113,41.02,43.98,10,12.46,12.9,13,5.81,11.8,6,3.19,3,0
0,0,1,0,194.8,97,33.12,70.59,12,20,17.44,13,7.85,11,3,2.97,1,0
1,0,1,0,104.2,75,17.71,81.87,9,23.2,18.72,11,8.42,9.2,2,2.48,1,0
0,0,0,33,183.3,115,31.16,60.42,9,17.12,17.74,8,7.98,10.4,15,2.81,3,0
0,1,1,0,156.3,82,26.57,77.82,9,22.05,14.37,9,6.47,8.3,7,2.24,5,0
0,0,0,27,140.1,59,23.82,67.02,11,18.99,25.79,7,11.61,3.8,10,1.03,1,0
2,0,1,0,169.2,70,28.76,81.45,8,23.08,17.02,10,7.66,10.6,2,2.86,0,0
0,0,1,0,184.8,126,31.42,59.58,10,16.88,10.3,9,4.64,8.3,3,2.24,1,0
0,0,1,0,85.9,92,14.6,58.17,13,16.48,23.15,9,10.42,10.1,2,2.73,0,0
0,0,1,0,210.8,84,35.84,56.88,10,16.12,15.76,10,7.09,16.4,3,4.43,2,0
2,0,0,37,69.5,94,11.82,66.27,8,18.78,21.85,11,9.83,11.9,3,3.21,0,0
0,0,1,0,202.2,132,34.37,47.67,8,13.51,11.14,10,5.01,8.6,4,2.32,2,0
0,1,0,38,220.1,78,37.42,70.29,7,19.92,23.73,9,10.68,10.1,4,2.73,4,0
0,1,1,0,146.3,117,24.87,65.61,9,18.59,23.6,10,10.62,11.5,5,3.11,1,0
1,1,1,0,62.8,124,10.68,51.12,7,14.48,28.02,8,12.61,9.4,4,2.54,3,0
0,0,1,0,84.2,134,14.31,24.24,10,6.87,19.61,8,8.82,10.8,2,2.92,1,0
0,0,1,0,221,126,37.57,61.35,11,17.38,11.8,10,5.31,6.8,3,1.84,4,0
1,0,1,0,175.4,99,29.82,46.59,8,13.2,17.94,9,8.07,11.5,3,3.11,1,0
1,0,1,0,91.1,90,15.49,53.79,12,15.24,30.07,9,13.53,11.9,8,3.21,2,0
1,0,1,0,208.1,93,35.38,56.76,11,16.08,27.96,9,12.58,7.4,2,2,1,0
0,0,1,0,103.3,103,17.56,41.55,8,11.77,16.48,10,7.42,9,2,2.43,2,0
0,0,1,0,255.4,122,43.42,6.69,9,1.9,15.26,7,6.87,11.1,6,3,0,0
0,0,1,0,115.1,89,19.57,59.04,11,16.73,21.24,10,9.56,11.4,3,3.08,2,0
1,0,1,0,273.6,93,46.51,34.38,12,9.74,25.06,12,11.28,8.2,4,2.21,1,0
0,0,1,0,105.8,110,17.99,13.17,9,3.73,18.96,9,8.53,13.1,5,3.54,0,0
2,0,1,0,203.7,92,34.63,64.92,10,18.39,15.42,7,6.94,7.6,5,2.05,2,0
1,0,1,0,229.6,82,39.03,41.43,10,11.74,25.08,11,11.29,3.3,3,0.89,1,0
2,0,0,36,183.2,117,31.14,38.04,8,10.78,26.33,7,11.85,11.2,8,3.02,1,0
0,0,1,0,178.3,86,30.31,52.95,10,15,18.71,8,8.42,13.8,2,3.73,1,0
2,0,1,0,130.2,119,22.13,87.27,12,24.73,19.48,14,8.77,14,6,3.78,3,0
0,1,1,0,106.6,76,18.12,44.22,9,12.53,23.58,11,10.61,9.6,8,2.59,2,0
2,1,1,0,209.1,141,35.55,61.5,9,17.43,11.94,11,5.37,7.8,3,2.11,2,0
0,0,1,0,146.4,74,24.89,44.55,9,12.62,21.67,10,9.75,11.3,3,3.05,1,0
2,0,1,0,195.6,71,33.25,37.92,7,10.74,14.86,9,6.69,14.2,4,3.83,1,0
2,0,0,27,129.5,106,22.02,74.67,9,21.16,26.8,12,12.06,11.9,3,3.21,1,0
0,0,1,0,237.5,130,40.38,63.96,9,18.12,19.41,11,8.73,10.1,3,2.73,0,0
0,0,1,0,155,106,26.35,52.59,10,14.9,15.56,13,7,11.8,5,3.19,2,0
0,0,0,30,127.1,89,21.61,51.63,12,14.63,19.46,11,8.76,12.1,3,3.27,1,0
2,1,0,24,93.5,112,15.9,55.02,13,15.59,24.07,13,10.83,9.9,3,2.67,0,0
2,0,1,0,208,125,35.36,59.67,8,16.91,7.64,10,3.44,8.6,6,2.32,0,0
1,0,0,24,147.5,90,25.08,52.71,11,14.93,25.21,10,11.34,15.6,3,4.21,2,0
1,0,0,43,147.7,95,25.11,77.79,11,22.04,23.71,11,10.67,8.9,8,2.4,3,0
2,0,1,0,293,88,49.81,48.18,10,13.65,14.39,9,6.48,10,6,2.7,2,0
0,0,1,0,134.7,96,22.9,70.77,9,20.05,26.02,11,11.71,7.6,6,2.05,3,0
0,0,1,0,120.6,82,20.5,71.49,10,20.26,21.98,13,9.89,11.4,5,3.08,0,0
0,0,1,0,150.7,52,25.62,74.01,10,20.97,10.38,12,4.67,7,4,1.89,2,0
1,0,1,0,143.7,116,24.43,51.21,10,14.51,28.77,10,12.95,7.8,5,2.11,1,0
0,0,0,50,208.8,130,35.5,39.87,10,11.3,13.67,11,6.15,11.1,4,3,2,0
2,0,0,31,160.3,45,27.25,66.45,7,18.83,26.16,11,11.77,5.6,1,1.51,1,0
0,0,1,0,154.4,130,26.25,65.16,10,18.46,18.54,5,8.34,13.9,4,3.75,1,0
1,0,1,0,173.2,93,29.44,39.36,8,11.15,17.09,10,7.69,5.4,3,1.46,0,0
2,0,1,0,87.6,89,14.89,51.69,13,14.65,15.34,9,6.9,8,4,2.16,1,0
2,0,0,30,177.3,95,30.14,63.54,10,18,24.02,11,10.81,9.3,7,2.51,3,0
1,0,1,0,82.7,116,14.06,58.38,10,16.54,15.9,5,7.15,10.9,9,2.94,0,0
0,0,1,0,176.9,109,30.07,27.21,10,7.71,23.8,7,10.71,9.5,2,2.57,1,0
0,0,0,35,169.8,136,28.87,52.11,10,14.76,21.46,11,9.66,9.5,7,2.57,2,0
0,0,0,22,175.9,70,29.9,63.51,11,17.99,17.45,8,7.85,7.3,5,1.97,2,0
2,1,1,0,125.6,108,21.35,63.9,9,18.11,18.17,11,8.18,5.4,5,1.46,1,0
0,0,1,0,172.8,81,29.38,58.02,9,16.44,8.96,11,4.03,12.8,5,3.46,2,0
0,0,1,0,130.2,94,22.13,58.56,13,16.59,19.55,7,8.8,7.6,5,2.05,2,0
0,0,1,0,126.1,112,21.44,82.41,13,23.35,18.44,10,8.3,9.8,4,2.65,1,0
1,0,1,0,243,115,41.31,57.54,9,16.3,11.78,9,5.3,13.4,5,3.62,2,0
0,0,1,0,190.3,123,32.35,90.39,10,25.61,21.46,13,9.66,8,3,2.16,1,0
0,0,1,0,164.3,106,27.93,54.69,10,15.5,18.39,9,8.28,12.1,2,3.27,1,0
1,0,0,16,118.9,112,20.21,68.49,10,19.41,18.01,11,8.1,8.2,5,2.21,2,0
0,0,1,0,140.3,108,23.85,70.59,11,20,20.08,6,9.04,11.8,6,3.19,1,0
0,0,1,0,183.1,128,31.13,72.3,9,20.49,21.11,11,9.5,12.5,4,3.38,0,0
0,0,1,0,118.6,89,20.16,59.88,10,16.97,5.33,6,2.4,11.5,5,3.11,1,0
1,0,1,0,159.5,125,27.12,74.13,9,21,18.79,8,8.46,7.2,4,1.94,2,0
2,0,1,0,212,113,36.04,67.98,13,19.26,19.36,11,8.71,8.9,7,2.4,3,0
0,1,0,31,140.6,114,23.9,79.38,4,22.49,23.87,12,10.74,9.7,4,2.62,2,0
2,0,1,0,129.5,94,22.02,27.78,10,7.87,15.43,11,6.94,9.9,5,2.67,3,0
2,0,0,29,135.8,104,23.09,66.75,10,18.91,23.56,9,10.6,7.9,6,2.13,2,0
0,0,0,33,231.8,78,39.41,69.87,8,19.8,20.69,12,9.31,7.6,4,2.05,1,0
